"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
            This test validates the feedback flow for negative ratings.
            
            Test Steps:
            1. Open the rating widget
            2. Select rating ""1"" (lowest rating)
            3. Verify the follow-up feedback prompt appears
            4. Verify heading: ""Tell us more""
        ","5440","should show feedback form when rating 1 is selected","Desktop Chrome","Fri Jul 04 12:20:08 IST 2025","passed","Fri Jul 04 12:20:13 IST 2025","WOGAA Sentiments Rating Widget","helpUsImprove.spec.js","",""
"
                This test validates user interactions with the feedback form for rating 3.
                
                Test Steps:
                1. Open rating widget and select rating ""3""
                2. Interact with ""Which areas contributed to your rating today?"" checkboxes
                3. Interact with ""Which are you interested in?"" checkboxes (Optional)
                4. Fill in ""What did you like least?"" text area (Optional)
                5. Fill in email field (Optional)
                6. Verify form can be closed
            ","6839","should allow user to interact with feedback form for rating 3","Desktop Chrome","Fri Jul 04 12:21:32 IST 2025","passed","Fri Jul 04 12:21:39 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
      This test validates that validation errors appear and submit button is disabled 
      when both text exceeds 255 characters and email is invalid for rating 4.
      
      Test Steps:
      1. Open rating widget and select rating ""4""
      2. Enter text exceeding 255 characters in feedback textarea
      3. Enter invalid email address
      4. Verify character count validation message appears
      5. Verify email validation message appears
      6. Verify submit button is disabled
  ","7796","should display validation errors and disable submit button when text exceeds 255 characters and email is invalid for rating 4","Desktop Chrome","Fri Jul 04 12:22:02 IST 2025","passed","Fri Jul 04 12:22:10 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
                This test validates the feedback form for negative rating 1.
                
                Test Steps:
                1. Open the rating widget
                2. Select rating ""1""
                3. Verify ""Tell us more"" heading appears
                4. Verify all required form questions are displayed:
                   - ""Which areas contributed to your rating today?"" (Required)
                   - ""Which are you interested in?"" (Optional)
                   - ""What did you like least?"" (Optional)
                   - ""Your email"" (Optional)
                5. Verify form elements are properly displayed
            ","8367","should display correct feedback form for rating 1","Desktop Chrome","Fri Jul 04 12:19:51 IST 2025","passed","Fri Jul 04 12:19:59 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
                This test validates user interactions with the feedback form for rating 4.
                
                Test Steps:
                1. Open rating widget and select rating ""4""
                2. Interact with ""Which areas contributed to your rating today?"" checkboxes
                3. Interact with ""Which are you interested in?"" checkboxes (Optional)
                4. Fill in ""What did you like least?"" text area (Optional)
                5. Fill in email field (Optional)
                6. Verify form can be closed
            ","7068","should allow user to interact with feedback form for rating 4","Desktop Chrome","Fri Jul 04 12:21:55 IST 2025","passed","Fri Jul 04 12:22:02 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
        This test ensures that selecting only the optional checkboxes under 
        ""Which are you interested in?"" does NOT enable the submit button 
        for rating 2.
        
        Test Steps:
        1. Open the rating widget and select rating ""2""
        2. Select all three optional checkboxes:
           - Informational Services
           - Transactional Services
           - Mobile Applications
        3. Ensure the mandatory field ""Which areas contributed to your rating today?"" is not filled
        4. Verify the submit button remains disabled
      ","5753","should keep submit button disabled when only optional checkboxes selected for rating 2","Desktop Chrome","Fri Jul 04 12:21:22 IST 2025","passed","Fri Jul 04 12:21:27 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
        This test ensures that selecting only the optional checkboxes under 
        ""Which are you interested in?"" does NOT enable the submit button 
        for rating 6.
        
        Test Steps:
        1. Open the rating widget and select rating ""6""
        2. Select all three optional checkboxes:
           - Informational Services
           - Transactional Services
           - Mobile Applications
        3. Ensure the mandatory field ""Which areas contributed to your rating today?"" is not filled
        4. Verify the submit button remains disabled
      ","4766","should keep submit button disabled when only optional checkboxes selected for rating 6","Desktop Chrome","Fri Jul 04 12:21:14 IST 2025","passed","Fri Jul 04 12:21:19 IST 2025","WOGAA Positive Ratings Feedback Flow (Ratings 5-6)","positiveRatings.spec.js","",""
"
                This test validates the feedback form for negative rating 3.
                
                Test Steps:
                1. Open the rating widget
                2. Select rating ""3""
                3. Verify ""Tell us more"" heading appears
                4. Verify all required form questions are displayed:
                   - ""Which areas contributed to your rating today?"" (Required)
                   - ""Which are you interested in?"" (Optional)
                   - ""What did you like least?"" (Optional)
                   - ""Your email"" (Optional)
                5. Verify form elements are properly displayed
            ","4434","should display correct feedback form for rating 3","Desktop Chrome","Fri Jul 04 12:21:27 IST 2025","passed","Fri Jul 04 12:21:32 IST 2025","WOGAA Negative Ratings Feedback Flow (Ratings 1-4)","negativeRatings.spec.js","",""
"
                This test validates user interactions with the feedback form for rating 6.
                
                Test Steps:
                1. Open rating widget and select rating ""6""
                2. Interact with ""Which areas contributed to your rating today?"" checkboxes (positive options)
                3. Interact with ""Which are you interested in?"" checkboxes (Optional)
                4. Fill in ""What did you like most?"" text area (Optional)
                5. Fill in email field (Optional)
                6. Verify form can be closed
            ","7170","should allow user to interact with feedback form for rating 6","Desktop Chrome","Fri Jul 04 12:20:57 IST 2025","passed","Fri Jul 04 12:21:05 IST 2025","WOGAA Positive Ratings Feedback Flow (Ratings 5-6)","positiveRatings.spec.js","",""
"
      This test validates that validation errors appear and submit button is disabled 
      when both text exceeds 255 characters and email is invalid for rating 5.
      
      Test Steps:
      1. Open rating widget and select rating ""5""
      2. Enter text exceeding 255 characters in feedback textarea
      3. Enter invalid email address
      4. Verify character count validation message appears
      5. Verify email validation message appears
      6. Verify submit button is disabled
  ","10806","should display validation errors and disable submit button when text exceeds 255 characters and email is invalid for rating 5","Desktop Chrome","Fri Jul 04 12:20:34 IST 2025","passed","Fri Jul 04 12:20:45 IST 2025","WOGAA Positive Ratings Feedback Flow (Ratings 5-6)","positiveRatings.spec.js","",""
